DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Klaus,225762,UT,Strong,03-Dec-2024,12:30:52,03-Dec-2024,12:30:53
Klaus,225762,UT,Strong,31-Mar-2025,20:42:49,31-Mar-2025,20:42:47
