DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Caterpillar,238962,UT,DS,1,0,0,,,23:00:46 14-Jan-2025,NN,B,50.0876,-5.1950,50.0876,-5.1950,6,,401677618,-135
Caterpillar,238962,UT,DS,3,0,2,175,50,00:54:00 15-Jan-2025,O3,A,50.0906,-5.2057,50.0906,-5.2057,8,,401677615,-130
Caterpillar,238962,UT,DS,4,0,3,90,71,05:09:56 15-Jan-2025,SR,3,50.0927,-5.1971,50.0927,-5.1971,68,,401677617,-119
Caterpillar,238962,UT,DS,1,0,0,,,07:10:16 15-Jan-2025,CS,B,50.0946,-5.1979,,,8,,401677615,-122
Caterpillar,238962,UT,DS,1,0,0,,,11:01:19 15-Jan-2025,MC,B,50.0935,-5.1998,50.0935,-5.1998,8,,401677617,-119
Caterpillar,238962,UT,DS,6,0,0,63,45,12:57:50 15-Jan-2025,NN,3,50.0858,-5.1971,50.0858,-5.1971,67,,401677652,-125
Caterpillar,238962,UT,DS,1,0,0,,,14:32:51 15-Jan-2025,O3,B,50.0960,-5.1878,50.0960,-5.1878,8,,401677634,-125
Caterpillar,238962,UT,DS,1,0,1,,,17:47:34 15-Jan-2025,NK,B,50.0909,-5.1819,50.0909,-5.1819,8,,401677628,-126
Caterpillar,238962,UT,DS,1,0,0,,,18:28:13 15-Jan-2025,CS,B,50.0925,-5.1596,50.0925,-5.1596,6,,401677656,-136
Caterpillar,238962,UT,DS,1,0,0,,,22:29:38 15-Jan-2025,MC,B,50.0846,-5.1354,,,8,,401677640,-127
Caterpillar,238962,UT,DS,1,0,0,,,09:42:42 16-Jan-2025,MB,B,50.1065,-5.0291,50.1065,-5.0291,8,,401677637,-122
Caterpillar,238962,UT,DS,1,0,0,,,11:09:59 16-Jan-2025,NN,B,50.1094,-5.0634,50.1094,-5.0634,8,,401677634,-133
Caterpillar,238962,UT,DS,1,0,0,,,12:44:22 16-Jan-2025,NN,B,50.1046,-5.1212,50.1046,-5.1212,8,,401677638,-128
Caterpillar,238962,UT,DS,1,0,0,,,17:44:10 16-Jan-2025,CS,B,50.0992,-5.1336,50.0992,-5.1336,8,,401677635,-134
Caterpillar,238962,UT,DS,1,0,1,,,18:26:08 16-Jan-2025,SR,B,50.0805,-5.1306,50.0805,-5.1306,6,,401677652,-136
Caterpillar,238962,UT,DS,1,0,0,,,19:00:17 16-Jan-2025,NK,B,50.0656,-5.1436,50.0656,-5.1436,8,,401677637,-125
Caterpillar,238962,UT,DS,1,0,0,,,20:04:46 16-Jan-2025,SR,B,50.0738,-5.2272,50.0738,-5.2272,8,,401677604,-121
Caterpillar,238962,UT,DS,2,0,1,75,75,20:42:09 16-Jan-2025,NK,B,50.0900,-5.1929,50.0900,-5.1929,6,,401677628,-129
Caterpillar,238962,UT,DS,2,0,0,260,260,22:03:12 16-Jan-2025,MC,B,50.0868,-5.2066,50.0868,-5.2066,8,,401677626,-112
Caterpillar,238962,UT,DS,1,0,1,,,22:12:07 16-Jan-2025,NP,B,50.0859,-5.2055,50.0859,-5.2055,6,,401677623,-126
Caterpillar,238962,UT,DS,2,0,1,153,153,22:37:54 16-Jan-2025,NN,B,50.0885,-5.2148,50.0885,-5.2148,6,,401677616,-120
Caterpillar,238962,UT,DS,3,0,1,90,45,07:14:12 17-Jan-2025,NK,A,50.0913,-5.2156,50.0913,-5.2156,8,,401677638,-127
Caterpillar,238962,UT,DS,1,0,0,,,10:21:07 17-Jan-2025,MC,B,50.1025,-5.2284,50.1025,-5.2284,8,,401677612,-121
Caterpillar,238962,UT,DS,1,0,0,,,11:04:50 17-Jan-2025,MB,B,50.1005,-5.2123,50.1005,-5.2123,8,,401677618,-130
