DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Caterpillar,238962,UT,Strong,10-Jan-2025,05:42:42,10-Jan-2025,05:42:42
Caterpillar,238962,UT,Strong,23-Mar-2025,21:41:25,23-Mar-2025,21:41:25
