Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Caterpillar,15-Jan-2025,07:47:47,1,,,,0,5,,,,,,,,,,,,,,,15,5,9547,,,,24,26872,,,,13,32619,,,,22,29245,,,,15,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,15-Jan-2025,09:46:46,1,,,,0,4,,,,,,,,,,,,,,,15,10,12734,,,,24,7815,,,,23,16994,,,,15,6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,15-Jan-2025,11:01:01,1,,,,0,5,,,,,,,,,,,,,,,15,12,28276,,,,19,3468,,,,25,31397,,,,24,17037,,,,32,26762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,15-Jan-2025,12:14:05,1,,,,0,5,,,,,,,,,,,,,,,15,12,5990,,,,32,25740,,,,25,6874,,,,24,6334,,,,28,30972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,15-Jan-2025,16:37:11,1,,,,0,7,,,,,,,,,,,,,,,15,31,9712,,,,27,2081,,,,26,29980,,,,16,24888,,,,28,1634,,,,29,25607,,,,18,2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,15-Jan-2025,17:35:30,1,,,,0,4,,,,,,,,,,,,,,,15,26,26998,,,,27,13906,,,,16,16446,,,,8,18106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,16-Jan-2025,06:39:17,1,,,,0,7,,,,,,,,,,,,,,,15,7,29348,,,,30,23084,,,,15,14293,,,,18,20480,,,,13,30264,,,,20,6711,,,,5,16304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,16-Jan-2025,14:45:16,1,,,,0,5,,,,,,,,,,,,,,,15,31,25706,,,,29,3608,,,,25,19550,,,,26,11726,,,,28,13224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,16-Jan-2025,17:00:03,1,,,,0,4,,,,,,,,,,,,,,,15,26,6183,,,,18,28715,,,,16,8275,,,,27,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,16-Jan-2025,20:42:29,2,,,,0,6,,,,,,,,,,,,,,,15,8,15896,,,,1,23053,,,,2,8875,,,,21,15851,,,,10,22656,,,,27,24171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
