DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15
Selkie,238970,0.500000,Transmission,UT,10:01:00 24-Mar-2025,1.7,2.00,2,,,, ,7,,0.00,0.00,8.775,8.825,,,5.00,0.00,8.775,8.825,,,10.00,0.00,8.775,8.825,,,15.00,0.00,8.775,8.825,,,20.00,0.00,8.775,8.825,,,25.00,0.00,8.775,8.825,,,30.00,0.00,8.775,8.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,09:01:00 25-Mar-2025,16.7,2.00,1,,,, ,4,,0.00,0.00,8.475,8.525,,,5.00,0.00,8.575,8.625,,,10.00,0.00,8.525,8.575,,,15.00,0.00,8.575,8.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,05:02:00 28-Mar-2025,1.7,2.00,1,,,, ,6,,0.00,0.00,8.875,8.925,,,5.00,0.00,8.875,8.925,,,10.00,0.00,8.875,8.925,,,15.00,0.00,8.925,8.975,,,20.00,0.00,8.975,9.025,,,25.00,0.00,8.975,9.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,06:01:00 28-Mar-2025,16.7,2.00,1,,,, ,6,,0.00,0.00,8.975,9.025,,,5.00,0.00,8.975,9.025,,,10.00,0.00,8.975,9.025,,,15.00,0.00,8.975,9.025,,,20.00,0.00,8.975,9.025,,,25.00,0.00,8.975,9.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,11:03:00 02-Apr-2025,16.7,3.00,1,,,, ,9,,0.00,0.00,9.775,9.825,,,5.00,0.00,9.775,9.825,,,10.00,0.00,9.775,9.825,,,15.00,0.00,9.775,9.825,,,20.00,0.00,9.775,9.825,,,25.00,0.00,9.725,9.775,,,30.00,0.00,9.725,9.775,,,35.00,0.00,9.725,9.775,,,40.00,0.00,9.725,9.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,10:41:00 03-Apr-2025,16.7,3.00,1,,,, ,12,,0.00,0.00,9.875,9.925,,,5.00,0.00,9.825,9.875,,,10.00,0.00,9.825,9.875,,,15.00,0.00,9.825,9.875,,,20.00,0.00,9.825,9.875,,,25.00,0.00,9.825,9.875,,,30.00,0.00,9.825,9.875,,,35.00,0.00,9.775,9.825,,,40.00,0.00,9.775,9.825,,,45.00,0.00,9.775,9.825,,,50.00,0.00,9.775,9.825,,,55.00,1.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,08:01:00 06-Apr-2025,1.7,3.00,1,,,, ,10,,0.00,0.00,9.475,9.525,,,5.00,0.00,9.475,9.525,,,10.00,0.00,9.475,9.525,,,15.00,0.00,9.475,9.525,,,20.00,0.00,9.475,9.525,,,25.00,0.00,9.475,9.525,,,30.00,0.00,9.525,9.575,,,35.00,0.00,9.525,9.575,,,40.00,0.00,9.575,9.625,,,45.00,0.00,9.575,9.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,18:01:00 07-Apr-2025,16.7,3.00,1,,,, ,10,,0.00,0.00,9.975,10.025,,,5.00,0.00,9.975,10.025,,,10.00,0.00,9.975,10.025,,,15.00,0.00,9.975,10.025,,,20.00,0.00,9.975,10.025,,,25.00,0.00,9.925,9.975,,,30.00,0.00,9.925,9.975,,,35.00,0.00,9.925,9.975,,,40.00,0.00,9.925,9.975,,,45.00,1.00,9.925,9.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,05:06:00 08-Apr-2025,1.7,3.00,1,,,, ,9,,0.00,0.00,9.775,9.825,,,5.00,0.00,9.775,9.825,,,10.00,0.00,9.775,9.825,,,15.00,0.00,9.775,9.825,,,20.00,0.00,9.775,9.825,,,25.00,0.00,9.825,9.875,,,30.00,0.00,9.825,9.875,,,35.00,0.00,9.825,9.875,,,40.00,0.00,9.825,9.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,06:00:00 08-Apr-2025,1.7,3.00,1,,,, ,7,,0.00,0.00,9.725,9.775,,,5.00,0.00,9.775,9.825,,,10.00,0.00,9.775,9.825,,,15.00,0.00,9.775,9.825,,,20.00,0.00,9.775,9.825,,,25.00,0.00,9.775,9.825,,,30.00,0.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,15:02:00 11-Apr-2025,16.7,4.00,1,,,, ,7,,0.00,0.00,10.675,10.725,,,5.00,0.00,9.925,9.975,,,10.00,0.00,9.775,9.825,,,15.00,0.00,9.775,9.825,,,20.00,0.00,9.775,9.825,,,25.00,0.00,9.775,9.825,,,30.00,0.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,13:01:00 12-Apr-2025,1.7,4.00,1,,,, ,9,,0.00,0.00,10.275,10.325,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.075,10.125,,,15.00,0.00,10.075,10.125,,,20.00,0.00,10.075,10.125,,,25.00,0.00,10.075,10.125,,,30.00,0.00,10.075,10.125,,,35.00,0.00,10.075,10.125,,,40.00,0.00,10.075,10.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,23:02:00 13-Apr-2025,16.7,4.00,2,,,, ,9,,0.00,0.00,10.125,10.175,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,0.00,10.125,10.175,,,20.00,0.00,10.125,10.175,,,25.00,1.00,10.125,10.175,,,30.00,0.00,10.125,10.175,,,35.00,0.00,10.125,10.175,,,40.00,0.00,10.125,10.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
