DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Wirligig,225754,UT,Strong,07-Feb-2025,18:23:53,07-Feb-2025,18:23:53
Wirligig,225754,UT,Strong,05-Jun-2025,14:25:41,05-Jun-2025,14:25:39
