DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 31-Mar-2025,1.000000,1,,,,,24,,30,3,3,3,3,10,3,10,10,3,10,10,10,10,3,3,3,3,10,10,10,70,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 01-Apr-2025,1.000000,1,,,,,24,,100,100,100,100,98,3,3,3,3,10,10,3,10,10,3,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 02-Apr-2025,1.000000,1,,,,,24,,10,10,3,10,3,3,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 03-Apr-2025,1.000000,1,,,,,24,,100,100,100,100,50,3,10,3,10,10,10,3,10,10,10,10,10,10,10,10,40,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 06-Apr-2025,1.000000,1,,,,,24,,90,100,100,100,90,10,3,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 07-Apr-2025,1.000000,1,,,,,24,,100,100,100,100,100,30,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 22-Apr-2025,2.000000,1,,,,,24,,100,100,100,100,70,10,10,10,10,3,3,3,3,10,10,10,10,10,10,10,3,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 23-Apr-2025,2.000000,1,,,,,24,,10,10,3,10,10,10,10,3,10,3,3,10,10,10,3,3,10,10,10,10,10,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 25-Apr-2025,2.000000,1,,,,,24,,10,98,100,100,70,10,10,3,3,3,3,3,3,3,3,10,3,10,10,10,10,10,10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 26-Apr-2025,2.000000,1,,,,,24,,100,100,100,100,70,10,3,10,3,3,10,3,10,10,10,10,3,10,10,10,10,70,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 27-Apr-2025,2.000000,1,,,,,24,,100,100,100,100,90,10,10,10,3,3,3,3,3,3,3,10,10,10,10,10,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 30-Apr-2025,2.000000,1,,,,,24,,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 01-May-2025,2.000000,1,,,,,24,,10,10,10,10,3,3,3,3,10,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 16-May-2025,3.000000,1,,,,,24,,100,100,100,40,3,3,3,10,10,3,10,10,3,3,3,3,3,3,3,3,10,10,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 17-May-2025,3.000000,1,,,,,24,,100,100,10,3,3,3,3,10,10,10,10,3,3,3,3,3,10,10,10,10,10,20,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 22-May-2025,3.000000,3,,,,,24,,3,3,10,3,3,10,10,20,10,3,3,3,3,3,3,3,3,3,3,10,10,50,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 23-May-2025,3.000000,3,,,,,24,,100,100,100,10,3,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,10,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 24-May-2025,3.000000,1,,,,,24,,100,100,100,100,20,10,10,10,10,10,10,10,10,10,3,3,10,10,3,10,10,10,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 25-May-2025,3.000000,1,,,,,24,,3,10,3,3,10,10,3,3,3,3,3,10,10,20,10,3,3,10,3,10,10,10,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 28-May-2025,4.000000,1,,,,,24,,10,3,3,10,10,3,3,10,10,10,3,3,3,10,10,10,20,3,50,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 29-May-2025,4.000000,1,,,,,24,,100,100,100,100,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 30-May-2025,4.000000,1,,,,,24,,10,10,10,10,3,10,10,10,3,3,3,10,20,10,10,3,3,3,3,3,10,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 31-May-2025,4.000000,1,,,,,24,,20,20,50,100,80,10,10,10,10,10,10,10,10,10,10,10,3,3,3,10,10,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,238966,0.500000,Transmission,UT,Percent,00:00:00 04-Jun-2025,4.000000,1,,,,,24,,100,100,100,100,100,100,100,100,70,10,10,10,10,10,10,10,3,3,10,3,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
