DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Dung Beetle,238965,UT,Strong,01-Apr-2025,08:19:27,01-Apr-2025,08:19:25
Dung Beetle,238965,UT,Strong,09-Jun-2025,06:38:12,09-Jun-2025,06:38:11
