DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Purple,238969,UT,20:34:57 28-Feb-2025,Argos,A,49.5140,-6.0044,320,853,120,86,,,,,,
Purple,238969,UT,20:36:06 28-Feb-2025,Argos,B,49.5114,-6.0085,494,824,296,103,,,,,,
Purple,238969,UT,22:16:06 28-Feb-2025,Argos,B,49.4507,-5.9409,3270,6296,1698,87,,,,,,
Purple,238969,UT,01:15:41 01-Mar-2025,Argos,B,49.4719,-5.9708,12047,28133,5159,118,,,,,,
Purple,238969,UT,03:13:46.841956 01-Mar-2025,FastGPS,7,49.4065,-6.0630,,,,,,,,,,
Purple,238969,UT,04:36:08 01-Mar-2025,Argos,B,49.4140,-5.9674,2001,17815,224,47,,,,,,
Purple,238969,UT,05:06:55.368993 01-Mar-2025,FastGPS,7,49.3943,-5.9671,,,,,,,,,,
Purple,238969,UT,06:03:13 01-Mar-2025,Argos,B,49.3665,-5.9351,1499,2411,931,75,,,,,,
Purple,238969,UT,06:16:33 01-Mar-2025,Argos,B,49.3835,-5.8913,1308,11485,149,168,,,,,,
Purple,238969,UT,06:18:13.706583 01-Mar-2025,FastGPS,6,49.3628,-5.8837,,,,,,,,,,
Purple,238969,UT,06:51:24 01-Mar-2025,Argos,B,49.3437,-5.8729,1177,1499,924,137,,,,,,
Purple,238969,UT,07:24:23.538136 01-Mar-2025,FastGPS,6,49.3294,-5.8189,,,,,,,,,,
Purple,238969,UT,07:37:08 01-Mar-2025,Argos,B,49.3327,-5.8421,955,6339,143,87,,,,,,
Purple,238969,UT,08:29:53 01-Mar-2025,Argos,B,49.2989,-5.8074,1115,13872,89,97,,,,,,
Purple,238969,UT,09:33:17 01-Mar-2025,Argos,A,49.2559,-5.7675,195,799,47,71,,,,,,
Purple,238969,UT,10:41:25.977071 01-Mar-2025,FastGPS,4,49.2178,-5.7778,,,,,,,,,,
Purple,238969,UT,11:03:41.161835 01-Mar-2025,FastGPS,6,49.1980,-5.8063,,,,,,,,,,
Purple,238969,UT,11:09:48 01-Mar-2025,Argos,B,49.1869,-5.7124,1424,1965,1031,110,,,,,,
Purple,238969,UT,11:28:45 01-Mar-2025,Argos,1,49.1772,-5.7972,647,2006,208,60,,,,,,
Purple,238969,UT,11:47:49 01-Mar-2025,Argos,B,49.1617,-5.7859,975,16850,56,100,,,,,,
Purple,238969,UT,12:05:03.178000 01-Mar-2025,FastGPS,7,49.1617,-5.8244,,,,,,,,,,
Purple,238969,UT,12:06:06 01-Mar-2025,Argos,A,49.1385,-5.8208,1595,5004,508,31,,,,,,
Purple,238969,UT,13:07:50 01-Mar-2025,Argos,A,49.1242,-5.8564,2620,17581,390,73,,,,,,
Purple,238969,UT,13:12:51 01-Mar-2025,Argos,B,49.1245,-5.8553,2608,8866,766,75,,,,,,
Purple,238969,UT,13:23:51 01-Mar-2025,Argos,B,49.1407,-5.8079,3972,7850,2009,82,,,,,,
Purple,238969,UT,13:47:06 01-Mar-2025,Argos,B,49.1310,-5.8111,5394,9735,2989,67,,,,,,
Purple,238969,UT,14:54:46 01-Mar-2025,Argos,B,49.1506,-5.8301,1092,3000,397,52,,,,,,
Purple,238969,UT,15:38:39.279722 01-Mar-2025,FastGPS,4,49.1463,-5.7479,,,,,,,,,,
Purple,238969,UT,15:42:57 01-Mar-2025,Argos,B,49.1155,-5.8178,1174,20480,67,62,,,,,,
Purple,238969,UT,17:17:47 01-Mar-2025,Argos,B,49.1377,-5.8043,1431,4274,479,82,,,,,,
Purple,238969,UT,18:13:37 01-Mar-2025,Argos,B,49.1147,-5.7717,2158,5062,920,96,,,,,,
Purple,238969,UT,18:21:03 01-Mar-2025,Argos,B,49.1163,-5.6111,831,6038,114,18,,,,,,
Purple,238969,UT,19:18:38.691036 01-Mar-2025,FastGPS,6,49.1090,-5.5348,,,,,,,,,,
Purple,238969,UT,19:26:12 01-Mar-2025,Argos,B,49.0934,-5.5887,1347,1714,1058,59,,,,,,
Purple,238969,UT,19:52:34 01-Mar-2025,Argos,B,49.0724,-5.5450,1218,15826,93,32,,,,,,
