DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,Depth21,Depth21Error,MinTemp21,MaxTemp21,%Ox21,Discont21,,,,,
Purple,238969,0.500000,Transmission,UT,17:01:00 13-Feb-2025,1.7,0.00,1,,,, ,7,,0.00,0.00,9.725,9.775,,,5.00,0.00,9.775,9.825,,,10.00,0.00,9.775,9.825,,,15.00,0.00,9.775,9.825,,,20.00,0.00,9.775,9.825,,,25.00,0.00,9.775,9.825,,,30.00,0.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,04:00:00 14-Feb-2025,1.7,0.00,1,,,, ,5,,0.00,0.00,9.475,9.525,,,5.00,0.00,9.475,9.525,,,10.00,0.00,9.425,9.475,,,15.00,0.00,9.475,9.525,,,20.00,0.00,9.475,9.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,15:34:00 14-Feb-2025,1.7,0.00,1,,,, ,5,,0.00,0.00,9.575,9.625,,,5.00,0.00,9.575,9.625,,,10.00,0.00,9.575,9.625,,,15.00,0.00,9.575,9.625,,,20.00,1.00,9.625,9.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,16:02:00 14-Feb-2025,1.7,0.00,1,,,, ,5,,0.00,0.00,9.525,9.575,,,5.00,0.00,9.525,9.575,,,10.00,0.00,9.525,9.575,,,15.00,0.00,9.575,9.625,,,20.00,0.00,9.575,9.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,03:02:00 15-Feb-2025,1.7,0.00,1,,,, ,6,,0.00,0.00,9.825,9.875,,,5.00,0.00,9.825,9.875,,,10.00,0.00,9.825,9.875,,,15.00,0.00,9.825,9.875,,,20.00,0.00,9.825,9.875,,,25.00,0.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,14:00:00 15-Feb-2025,1.7,0.00,2,,,, ,8,,0.00,0.00,9.925,9.975,,,5.00,1.00,9.925,9.975,,,10.00,0.00,9.825,9.875,,,15.00,0.00,9.825,9.875,,,20.00,0.00,9.825,9.875,,,25.00,0.00,9.825,9.875,,,30.00,0.00,9.825,9.875,,,35.00,0.00,9.825,9.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,13:05:00 16-Feb-2025,16.7,0.00,1,,,, ,4,,0.00,0.00,9.675,9.725,,,5.00,0.00,9.675,9.725,,,10.00,0.00,9.725,9.775,,,15.00,0.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,14:02:00 16-Feb-2025,1.7,0.00,1,,,, ,4,,0.00,0.00,9.675,9.725,,,5.00,0.00,9.675,9.725,,,10.00,0.00,9.675,9.725,,,15.00,1.00,9.725,9.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,12:42:00 17-Feb-2025,1.7,0.00,1,,,, ,7,,0.00,0.00,9.625,9.675,,,5.00,0.00,9.625,9.675,,,10.00,0.00,9.625,9.675,,,15.00,0.00,9.625,9.675,,,20.00,0.00,9.625,9.675,,,25.00,0.00,9.625,9.675,,,30.00,0.00,9.625,9.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,13:03:00 17-Feb-2025,16.7,0.00,3,,,, ,8,,0.00,0.00,9.675,9.725,,,5.00,0.00,9.675,9.725,,,10.00,0.00,9.675,9.725,,,15.00,0.00,9.625,9.675,,,20.00,0.00,9.625,9.675,,,25.00,0.00,9.675,9.725,,,30.00,0.00,9.675,9.725,,,35.00,0.00,9.625,9.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,10:00:00 20-Feb-2025,1.7,0.00,1,,,, ,10,,0.00,0.00,10.175,10.225,,,5.00,0.00,10.175,10.225,,,10.00,1.00,10.175,10.225,,,15.00,0.00,10.175,10.225,,,20.00,0.00,10.175,10.225,,,25.00,0.00,10.175,10.225,,,30.00,0.00,10.175,10.225,,,35.00,1.00,10.175,10.225,,,40.00,0.00,10.175,10.225,,,45.00,1.00,10.175,10.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,20:32:00 20-Feb-2025,1.7,0.00,1,,,, ,9,,0.00,0.00,10.075,10.125,,,5.00,0.00,10.075,10.125,,,10.00,0.00,10.075,10.125,,,15.00,0.00,10.075,10.125,,,20.00,0.00,10.075,10.125,,,25.00,0.00,10.075,10.125,,,30.00,0.00,10.075,10.125,,,35.00,0.00,10.075,10.125,,,40.00,1.00,10.075,10.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,18:25:00 22-Feb-2025,1.7,0.00,3,,,, ,7,,0.00,0.00,9.725,9.775,,,5.00,0.00,9.625,9.675,,,10.00,0.00,9.475,9.525,,,15.00,0.00,9.475,9.525,,,20.00,0.00,9.425,9.475,,,25.00,0.00,9.425,9.475,,,30.00,0.00,9.375,9.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,07:02:00 23-Feb-2025,1.7,0.00,2,,,, ,12,,0.00,0.00,9.625,9.675,,,5.00,0.00,9.625,9.675,,,10.00,0.00,9.625,9.675,,,15.00,0.00,9.575,9.625,,,20.00,0.00,9.575,9.625,,,25.00,0.00,9.575,9.625,,,30.00,0.00,9.625,9.675,,,35.00,0.00,9.575,9.625,,,40.00,0.00,9.525,9.575,,,45.00,0.00,9.475,9.525,,,50.00,0.00,9.375,9.425,,,55.00,0.00,9.375,9.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
