Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Purple,14-Jan-2025,18:09:29,3,,,,0,4,,,,,,,,,,,,,,,15,16,11978,,,,27,26036,,,,23,19896,,,,26,13218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,14-Jan-2025,19:11:59,1,,,,0,5,,,,,,,,,,,,,,,15,16,15736,,,,27,1246,,,,21,24645,,,,8,7367,,,,7,13156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,15-Jan-2025,06:09:27,1,,,,0,5,,,,,,,,,,,,,,,15,20,23902,,,,30,24894,,,,13,13479,,,,5,460,,,,15,18948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,15-Jan-2025,10:01:35,1,,,,0,4,,,,,,,,,,,,,,,15,12,29671,,,,23,6834,,,,15,8458,,,,24,3666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,15-Jan-2025,14:26:31,1,,,,0,5,,,,,,,,,,,,,,,15,26,6808,,,,29,16665,,,,28,30066,,,,25,490,,,,31,26108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,15-Jan-2025,16:51:17,1,,,,0,5,,,,,,,,,,,,,,,15,26,16546,,,,16,16198,,,,18,31575,,,,27,17036,,,,31,14596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,15-Jan-2025,18:02:12,1,,,,0,4,,,,,,,,,,,,,,,15,27,11357,,,,18,29545,,,,23,4291,,,,26,15462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,15-Jan-2025,20:26:36,1,,,,0,5,,,,,,,,,,,,,,,15,10,2883,,,,2,1961,,,,8,7752,,,,21,7057,,,,27,3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,15-Jan-2025,22:00:01,1,,,,0,5,,,,,,,,,,,,,,,15,1,10688,,,,14,13856,,,,3,28866,,,,2,6890,,,,8,25128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,16-Jan-2025,00:08:47,1,,,,0,6,,,,,,,,,,,,,,,15,3,2283,,,,19,31077,,,,1,8122,,,,2,31451,,,,17,23960,,,,4,5861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
