DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Leaf Cutter,225759,UT,Strong,31-Mar-2025,11:52:12,31-Mar-2025,11:52:13
Leaf Cutter,225759,UT,Strong,07-May-2025,07:41:33,07-May-2025,07:41:34
