DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,,,,,
JP,238968,0.500000,Transmission,UT,09:00:00 18-Dec-2024,1.7,3.00,1,,,, ,6,,5.00,0.00,12.025,12.075,,,10.00,0.00,11.975,12.025,,,15.00,0.00,11.975,12.025,,,20.00,0.00,12.025,12.075,,,25.00,0.00,12.025,12.075,,,30.00,1.00,12.025,12.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,10:01:00 18-Dec-2024,16.7,3.00,1,,,, ,4,,5.00,0.00,11.925,11.975,,,10.00,0.00,11.925,11.975,,,15.00,0.00,11.925,11.975,,,20.00,0.00,11.925,11.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,08:58:00 19-Dec-2024,1.7,3.00,5,,,, ,5,,5.00,1.00,11.575,11.625,,,10.00,0.00,11.575,11.625,,,15.00,0.00,11.625,11.675,,,20.00,0.00,11.625,11.675,,,25.00,0.00,11.625,11.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,09:00:00 19-Dec-2024,1.7,3.00,1,,,, ,5,,5.00,0.00,11.575,11.625,,,10.00,0.00,11.625,11.675,,,15.00,0.00,11.625,11.675,,,20.00,0.00,11.625,11.675,,,25.00,0.00,11.625,11.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,19:07:00 19-Dec-2024,16.7,3.00,2,,,, ,12,,5.00,0.00,12.325,12.375,,,10.00,0.00,12.325,12.375,,,15.00,0.00,12.325,12.375,,,20.00,0.00,12.325,12.375,,,25.00,0.00,12.325,12.375,,,30.00,0.00,12.325,12.375,,,35.00,0.00,12.325,12.375,,,40.00,0.00,12.325,12.375,,,45.00,0.00,12.325,12.375,,,50.00,0.00,12.325,12.375,,,55.00,0.00,12.275,12.325,,,60.00,0.00,12.275,12.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,20:01:00 19-Dec-2024,1.7,3.00,1,,,, ,6,,5.00,0.00,12.175,12.225,,,10.00,0.00,12.175,12.225,,,15.00,0.00,12.175,12.225,,,20.00,0.00,12.175,12.225,,,25.00,0.00,12.175,12.225,,,30.00,1.00,12.175,12.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,18:00:00 20-Dec-2024,1.7,3.00,1,,,, ,4,,5.00,0.00,11.775,11.825,,,10.00,0.00,11.775,11.825,,,15.00,0.00,11.775,11.825,,,20.00,0.00,11.775,11.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,06:23:00 21-Dec-2024,16.7,3.00,1,,,, ,6,,5.00,0.00,11.775,11.825,,,10.00,1.00,11.775,11.825,,,15.00,0.00,11.775,11.825,,,20.00,0.00,11.775,11.825,,,25.00,0.00,11.775,11.825,,,30.00,0.00,11.775,11.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,17:02:00 21-Dec-2024,1.7,3.00,2,,,, ,6,,5.00,0.00,11.425,11.475,,,10.00,0.00,11.425,11.475,,,15.00,0.00,11.425,11.475,,,20.00,0.00,11.425,11.475,,,25.00,0.00,11.425,11.475,,,30.00,0.00,11.425,11.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,238968,0.500000,Transmission,UT,18:00:00 21-Dec-2024,1.7,3.00,2,,,, ,2,,5.00,0.00,11.375,11.425,,,10.00,0.00,11.375,11.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
