DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
JP,238968,UT,Strong,03-Dec-2024,10:02:00,03-Dec-2024,10:02:02
JP,238968,UT,Strong,24-Feb-2025,01:47:14,24-Feb-2025,01:47:20
