DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Sunbeetle,225760,UT,Strong,07-Nov-2024,19:20:36,07-Nov-2024,19:20:37
Sunbeetle,225760,UT,Strong,14-Dec-2024,06:31:19,14-Dec-2024,06:31:21
