Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Sunbeetle,11-Nov-2024,05:27:25,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,9,26621,,,,4,46,,,,2,22528,,,,19,17585,,,,17,25320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,11-Nov-2024,21:44:14,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,31,22863,,,,26,18604,,,,23,21572,,,,16,28263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,12-Nov-2024,05:35:50,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,2,4977,,,,3,22797,,,,9,5590,,,,4,16820,,,,17,26312,,,,31,30529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,12-Nov-2024,06:44:33,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,6,14338,,,,9,217,,,,3,6134,,,,4,32256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,12-Nov-2024,09:20:59,2,1.000000,,,0,5,,,,,,,,,,,,,,,15,7,29341,,,,30,11723,,,,11,6758,,,,9,210,,,,5,7092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,12-Nov-2024,11:00:01,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,5,141,,,,13,4036,,,,30,31964,,,,14,29990,,,,18,2104,,,,15,23461,,,,20,8732,,,,7,23901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,12-Nov-2024,11:58:57,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,15,28331,,,,5,15695,,,,22,21580,,,,13,15652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,12-Nov-2024,13:08:42,2,1.000000,,,0,7,,,,,,,,,,,,,,,15,15,20488,,,,17,9289,,,,22,2320,,,,14,16290,,,,13,28960,,,,24,24491,,,,23,20840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,13-Nov-2024,03:10:57,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,8,13848,,,,2,11918,,,,21,2464,,,,17,25122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,13-Nov-2024,06:19:47,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,9,2386,,,,6,17029,,,,4,23272,,,,17,31606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,13-Nov-2024,13:45:07,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,15,21620,,,,22,13493,,,,24,19649,,,,19,3506,,,,17,19774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,14-Nov-2024,03:48:23,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,4,8261,,,,2,13971,,,,3,24690,,,,21,11209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,14-Nov-2024,06:54:06,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,7,19203,,,,19,8618,,,,3,5216,,,,4,29344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
