"","id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"1","Barry-Mantis",2025-02-07 15:00:00,-5.44056299199383,50.0967935122258,-605.640701897482,6430.25792875058,0.937678210127748,0.918677787825254,2.38132831526387,0.727454234503547,0.915392367978869
"2","Barry-Mantis",2025-02-07 17:00:00,-5.2381895862668,50.0295574496261,-583.112597421849,6418.63078819671,0.38731099438558,0.37719016030114,2.38132831526387,0.666200365770854,0.915392367978869
"3","Barry-Mantis",2025-02-07 19:00:00,-5.3728652819924,49.9684867263809,-598.104627292252,6408.08399769672,3.34496360095048,3.1866554091319,2.41118360283133,0.571013926626934,0.917676143304225
"4","Barry-Mantis",2025-02-07 21:00:00,-5.28844152347034,49.7358469699668,-588.706617482723,6368.03037705083,5.11106923698758,4.64054036622947,2.33362521335,0.483546643348653,0.911623841169337
"5","Barry-Mantis",2025-02-07 23:00:00,-5.20928177434946,49.4924363824867,-579.894594519263,6326.32851001029,5.16606001046499,4.1066684441853,2.03420403323501,0.482423319059868,0.884341767627575
"6","Barry-Mantis",2025-02-08 01:00:00,-5.16561359249413,49.3097873551792,-575.033474751259,6295.17327696988,4.60169736197283,2.83399292045967,1.67577200098069,0.609310614286171,0.842343862333822
"7","Barry-Mantis",2025-02-08 03:00:00,-5.20556535699849,49.2902731807051,-579.480884832178,6291.85153655862,4.73978165896143,3.56182490657864,1.62377151165148,0.684633642243682,0.835314610802009
"8","Barry-Mantis",2025-02-08 05:00:00,-5.26462631290949,49.3212213504475,-586.055520369954,6297.12020855218,4.57540692094399,3.03531221874797,1.76286635138204,0.644691736130186,0.853568287133452
"9","Barry-Mantis",2025-02-08 07:00:00,-5.31146348931093,49.3757441671246,-591.269410997157,6306.41037793635,5.00363445474838,3.48189285084532,1.83110548325014,0.626773726622614,0.8618933686771
"10","Barry-Mantis",2025-02-08 09:00:00,-5.34442814663284,49.4400572499044,-594.939019864406,6317.38204840089,5.74300228174493,4.64215970405685,1.94340089010512,0.604466089943206,0.874725291453382
"11","Barry-Mantis",2025-02-08 11:00:00,-5.37765116842863,49.508722783756,-598.637389733327,6329.11222218351,5.38495179129115,4.16723947685295,2.03967423841266,0.584722572682079,0.884900092671752
"12","Barry-Mantis",2025-02-08 13:00:00,-5.41916680164496,49.5792861309137,-603.25888888293,6341.18386420048,4.51245364810632,2.74369031026801,2.1182992908891,0.563318541446464,0.892669091684259
"13","Barry-Mantis",2025-02-08 15:00:00,-5.49294655863204,49.6492198987749,-611.472013861584,6353.16513345517,4.45484586634884,3.24935459641605,2.16486447632955,0.546700118672846,0.89704965903278
"14","Barry-Mantis",2025-02-08 17:00:00,-5.55725472506978,49.7415117906369,-618.630766203282,6369.00339175249,4.19955288173332,2.78809283955578,2.19032124559066,0.522681058508638,0.899376982257845
"15","Barry-Mantis",2025-02-08 19:00:00,-5.55381581772836,49.9165680818061,-618.247948789149,6399.12833067357,3.61225423468597,2.59062603383499,2.1416117741812,0.52831411149084,0.894882323298252
"16","Barry-Mantis",2025-02-08 21:00:00,-5.52467290810271,50.0851576944251,-615.003774929387,6428.24457226788,3.28056989817657,2.03873360571521,1.97454109640497,0.591375924240944,0.878098035851546
"17","Barry-Mantis",2025-02-08 23:00:00,-5.51879352373464,50.0833360377851,-614.349284855356,6427.92941380469,3.66528686558503,3.09989396422964,1.91660624588745,0.676403384009191,0.871759507826147
"18","Barry-Mantis",2025-02-09 01:00:00,-5.51452296525741,50.0804880954631,-613.873888460269,6427.43672536504,2.62604420431955,2.17336317495314,1.92241396021789,0.719013745122835,0.872407379861013
"19","Barry-Mantis",2025-02-09 03:00:00,-5.48610338773721,50.0606999033213,-610.710235562159,6424.0142193086,0.0115419213833096,0.00894919460223848,1.92789125132115,0.736990217979903,0.873015829533414
"20","Barry-Mantis",2025-02-09 05:00:00,-5.47359439670896,50.0829907734775,-609.317741050556,6427.86968218837,2.21053065422277,1.70172436110051,1.94413447151635,0.760660297321235,0.874805655910577
"21","Barry-Mantis",2025-02-09 07:00:00,-5.4648865394719,50.0915774211856,-608.348386817027,6429.35532283034,3.08309174197316,2.38374377185522,1.95960327875091,0.772606475022474,0.876490011682666
"22","Barry-Mantis",2025-02-09 09:00:00,-5.46631328604011,50.0854196664234,-608.507211518491,6428.28989612036,2.79781379993265,2.0102441916342,1.97069108804495,0.776760121804129,0.877685323469206
"23","Barry-Mantis",2025-02-09 11:00:00,-5.47529344310674,50.0537442522935,-609.506878030392,6422.8115280718,1.81370066858092,1.33073952033604,1.97660937659569,0.778861471688809,0.87831925536645
"24","Barry-Mantis",2025-02-09 13:00:00,-5.4895055190036,50.0354709259107,-611.088959082345,6419.65274945338,0.122324353224956,0.111479215731567,1.97814957418934,0.784959031753059,0.878483767385911
"25","Barry-Mantis",2025-02-09 15:00:00,-5.47307644040375,50.035726256575,-609.260082418407,6419.69687830212,2.25526135049937,1.74643602458537,1.9831759898459,0.790954726475844,0.879019317480364
"26","Barry-Mantis",2025-02-09 17:00:00,-5.45391703100167,50.0323299236164,-607.127266719868,6419.10990871578,0.0783149813194703,0.0716806729866789,1.99326988632757,0.801944642169327,0.88008864631317
"27","Barry-Mantis",2025-02-09 19:00:00,-5.45611768484326,50.0258376112194,-607.372242384926,6417.98799414777,2.19111161748232,1.53263497359113,1.99918664139283,0.80631896232201,0.880711654088328
"28","Barry-Mantis",2025-02-09 21:00:00,-5.46633961743788,50.017816728198,-608.510142716282,6416.6021429968,1.55843158436432,1.22088656789826,2.00265629569695,0.809083879257219,0.881075690004425
