DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Barry-Mantis,225758,UT,Strong,07-Feb-2025,17:33:27,07-Feb-2025,17:33:28
Barry-Mantis,225758,UT,Strong,22-May-2025,12:37:24,22-May-2025,12:37:24
