DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Monarch,238971,UT,11:32:34 09-Mar-2025,,,3,50.7518,-6.3088,CRC 4427.67ab,,,8,145,9,196,189,62,7,143,0,124,3,224,120,240,24,23,7,139,11,,,,,,,,,,,,,
Monarch,238971,UT,11:36:19 09-Mar-2025,,,3,50.7518,-6.3088,CRC a545.257a,01:00:00 27-Feb-2025,CumulativeDist,20,177,17,68,182,16,0,15,131,243,239,142,181,16,223,41,127,123,116,,,,,,,,,,,,,
Monarch,238971,UT,11:37:06 09-Mar-2025,,,3,50.7518,-6.3088,CRC 4564.6465,03:00:00 27-Feb-2025,CumulativeDist,8,177,25,4,182,48,0,15,130,2,2,127,0,0,124,16,16,17,4,,,,,,,,,,,,,
Monarch,238971,UT,11:44:40 09-Mar-2025,,,B,50.7555,-6.3080,CRC c525.e29c,07:00:00 27-Feb-2025,CumulativeDist,24,177,9,68,182,112,0,6,21,52,115,233,190,108,155,182,25,42,193,,,,,,,,,,,,,
Monarch,238971,UT,11:47:38 09-Mar-2025,,,B,50.7555,-6.3080,CRC e5c4.2431,09:00:00 27-Feb-2025,CumulativeDist,28,177,49,4,182,144,0,15,130,2,2,114,43,63,40,74,87,176,119,,,,,,,,,,,,,
Monarch,238971,UT,19:41:01 09-Mar-2025,,,B,50.7629,-6.3129,CRC c2b0.49eb,09:00:00 01-Mar-2025,CumulativeDist,24,81,44,4,194,144,0,46,114,196,16,41,213,195,227,120,123,67,173,,,,,,,,,,,,,
Monarch,238971,UT,21:15:37 09-Mar-2025,,,0,50.7430,-6.4155,CRC a2d0.afc0,15:00:00 01-Mar-2025,CumulativeDist,20,81,52,4,194,240,0,15,130,2,2,127,0,0,124,16,17,19,235,,,,,,,,,,,,,
Monarch,238971,UT,21:21:56 09-Mar-2025,,,0,50.7430,-6.4155,CRC dd96.c6de,,,27,179,101,180,204,136,146,7,164,219,83,34,73,183,108,139,34,233,45,,,,,,,,,,,,,
Monarch,238971,UT,21:27:15 09-Mar-2025,,,B,50.7475,-6.3917,CRC 0035.c79d,,,0,17,13,68,213,82,48,47,135,210,216,27,220,172,178,105,182,61,188,,,,,,,,,,,,,
Monarch,238971,UT,21:28:04 09-Mar-2025,,,B,50.7475,-6.3917,CRC (both failed),,,42,92,64,238,238,239,238,238,238,238,238,238,238,238,238,115,76,32,238,238,238,233,107,105,107,105,41,105,44,229,182,
Monarch,238971,UT,21:33:23 09-Mar-2025,,,3,50.7520,-6.3719,CRC 25fd.8e6a,,,4,177,63,85,57,206,172,113,240,251,112,179,202,125,215,220,215,226,175,,,,,,,,,,,,,
Monarch,238971,UT,21:34:08 09-Mar-2025,,,3,50.7520,-6.3719,CRC 130.241,21:34:08 09-Mar-2025,Status,80,80,180,165,239,57,227,77,72,127,169,44,233,134,147,158,144,48,195,137,129,245,60,255,217,190,61,127,130,124,31,
Monarch,238971,UT,21:37:09 09-Mar-2025,,,3,50.7520,-6.3719,CRC 61d5.2474,06:00:00 09-Feb-2025,CumulativeDist,12,49,53,68,146,110,226,34,16,201,135,96,115,42,195,66,51,40,15,,,,,,,,,,,,,
Monarch,238971,UT,21:37:55 09-Mar-2025,,,3,50.7520,-6.3719,CRC 01b5.32b0,21:00:00 03-Jul-2023,CumulativeDist,0,49,45,77,199,80,4,207,134,2,92,76,113,170,63,198,226,253,157,,,,,,,,,,,,,
Monarch,238971,UT,21:41:44 09-Mar-2025,,,3,50.7520,-6.3719,CRC c53a.1d3b,09:00:00 04-Mar-2025,CumulativeDist,24,177,14,132,200,144,0,15,130,2,2,127,0,0,124,16,16,19,216,,,,,,,,,,,,,
Monarch,238971,UT,21:34:08 09-Mar-2025,,,A,50.7519,-6.3703,CRC 130.250,21:34:08 09-Mar-2025,Status,80,88,180,165,132,30,182,56,226,167,206,79,254,252,5,19,18,148,71,88,240,97,199,17,25,16,200,121,13,244,249,
Monarch,238971,UT,21:40:59 09-Mar-2025,,,A,50.7519,-6.3703,CRC e5db.a495,07:00:00 04-Mar-2025,CumulativeDist,28,177,54,196,200,112,0,15,130,2,2,127,80,132,124,16,16,19,248,,,,,,,,,,,,,
Monarch,238971,UT,22:25:22 09-Mar-2025,,,3,50.7515,-6.3742,CRC 412b.817a,19:00:00 28-Feb-2025,CumulativeDist,8,49,10,196,185,48,0,15,130,2,2,127,0,0,124,16,17,19,248,,,,,,,,,,,,,
Monarch,238971,UT,22:26:54 09-Mar-2025,,,3,50.7515,-6.3742,CRC (both failed),,,42,75,128,230,252,238,238,238,122,252,227,249,195,19,58,250,137,30,240,123,60,136,102,93,48,117,217,194,202,246,4,
Monarch,238971,UT,22:28:24 09-Mar-2025,,,3,50.7515,-6.3742,CRC 8231.d468,01:00:00 01-Mar-2025,CumulativeDist,16,81,12,68,194,16,0,46,55,111,28,250,3,251,130,135,93,9,252,,,,,,,,,,,,,
Monarch,238971,UT,22:32:12 09-Mar-2025,,,3,50.7515,-6.3742,CRC e251.92b6,07:00:00 01-Mar-2025,CumulativeDist,28,81,20,68,194,112,0,15,130,2,40,125,128,0,124,16,16,19,248,,,,,,,,,,,,,
Monarch,238971,UT,22:35:14 09-Mar-2025,,,3,50.7515,-6.3742,CRC a2d4.1974,,,20,81,53,7,225,150,66,132,117,184,60,117,27,136,30,114,171,183,56,,,,,,,,,,,,,
Monarch,238971,UT,22:36:45 09-Mar-2025,,,3,50.7515,-6.3742,CRC 62cd.df78,,,12,81,51,69,44,78,174,52,123,88,29,80,224,5,115,119,165,81,53,,,,,,,,,,,,,
Monarch,238971,UT,22:59:32 09-Mar-2025,,,3,50.7508,-6.3742,CRC 05fa.cc9c,05:00:00 04-Mar-2025,CumulativeDist,0,177,62,132,200,80,0,15,130,2,2,111,0,0,124,16,0,155,248,,,,,,,,,,,,,
Monarch,238971,UT,23:00:46 09-Mar-2025,,,3,50.7508,-6.3742,CRC a522.d090,21:00:00 09-Mar-2025,CumulativeDist,20,177,8,132,211,80,0,15,130,2,192,13,97,220,233,128,52,64,161,,,,,,,,,,,,,
Monarch,238971,UT,23:06:03 09-Mar-2025,,,3,50.7508,-6.3742,CRC 877a.4eab,02:00:00 25-Apr-2024,MixLayer,16,240,158,132,201,16,0,7,130,2,2,127,0,0,124,16,16,19,248,,,,,,,,,,,,,
Monarch,238971,UT,23:12:51 09-Mar-2025,,,3,50.7516,-6.3727,CRC e7.f7,00:00:00 01-Apr-2014,LHX,28,224,132,157,181,67,57,50,126,162,142,176,242,209,111,98,44,37,206,,,,,,,,,,,,,
Monarch,238971,UT,23:14:21 09-Mar-2025,,,3,50.7516,-6.3727,CRC 2499.2e47,11:00:00 05-Mar-2025,CumulativeDist,4,145,38,68,202,177,16,51,156,215,221,144,125,251,193,231,247,236,3,,,,,,,,,,,,,
