DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Maggot,238963,UT,Strong,29-Oct-2024,10:16:26,29-Oct-2024,10:16:27
Maggot,238963,UT,Strong,02-Dec-2024,01:23:17,02-Dec-2024,01:23:18
