DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
Mary,225765,UT,Strong,29-Oct-2024,12:49:54,29-Oct-2024,12:49:55
Mary,225765,UT,Strong,01-Nov-2024,09:51:40,01-Nov-2024,09:51:42
